Icon,Name,Age,HP,Att.,Att. Type,Reload Time,M. Arm.,P. Arm.,LOS,R,Acc.,Sp.,Tr. Time,Cost,Attack Bonuses
,Lord de Graville,-,60,6,P,3.0,0,0,6,5,60,1.00,-,-,Ram
,Robin Hood,-,110,1,P,2.0,0,1,7,5,70,0.96,-,-,-
,Genghis Khan,-,300,25,P,2.0,2,2,4,5,100,1.45,-,-,Siege
,Subotai,-,250,12,P,2.0,2,2,6,5,50,1.65,-,-,"Bldg, Ram"
,Tamerlane,-,350,6,P,2.0,2,2,6,4,100,1.41,-,-,Siege
,Alexander Nevski,-,230,12,M,2.0,8,6,4,0,-,1.3,-,-,-
,Attila the Hun,-,350,13,M,2.0,2,2,5,0,-,1.2,-,-,"Boars, Bldg"
,Belisarius,-,210,9,M,2.0,2,1,4,0,-,1.35,-,-,Inf
,Bleda the Hun,-,210,13,M,2.0,2,2,5,0,-,1.2,-,-,Bldg
,Constable Richemont,-,250,15,M,2.0,2,2,4,0,-,1.45,-,-,-
,Duke d'Alencon,-,150,16,M,2.0,2,3,5,0,-,1.45,-,-,-
,El Cid Campeador,-,430,15,M,2.0,2,3,6,0,-,1.32,-,-,-
,Frankish Paladin,-,175,15,M,2.0,2,3,6,0,-,1.32,-,-,-
,Gawain,-,180,12,M,2.0,2,2,4,0,-,1.3,-,-,-
,Guy Josselyne,-,190,14,M,2.0,2,3,4,0,-,1.45,-,-,-
,Henry V,-,240,16,M,2.0,5,4,5,0,-,1.3,-,-,-
,Joan of Arc,-,200,17,M,2.0,2,2,6,0,-,1.45,-,-,-
,Kushluk,-,275,17,M,2.0,4,2,4,0,-,1.45,-,-,-
,Lancelot,-,240,14,M,2.0,2,3,5,0,-,1.3,-,-,-
,Master of the Templar,-,250,15,M,2.0,2,3,6,0,-,1.32,-,-,-
,Reynald de Chatillon,-,250,16,M,2.0,2,3,6,0,-,1.32,-,-,-
,Richard the Lionhearted,-,220,14,M,2.0,2,3,5,0,-,1.3,-,-,-
,Roland,-,150,10,M,2.0,2,2,4,0,-,1.3,-,-,-
,Scythian Scout,-,90,10,M,2.0,2,8,4,0,-,1.5,-,-,-
,Sieur Bertrand,-,120,12,M,2.0,2,2,4,0,-,1.45,-,-,-
,Sieur de Metz,-,120,15,M,2.0,2,2,4,0,-,1.45,-,-,-
,Sir John Fastolf,-,200,17,M,2.0,2,2,4,0,-,1.45,-,-,-
,The Black Prince,-,370,12,M,2.0,2,2,4,0,-,1.3,-,-,-
,William the Conqueror,-,250,15,M,2.0,4,4,6,0,-,1.32,-,-,-
,Hunting Wolf,-,100,8,M,2.0,2,2,3,0,-,1.0,-,-,-
,Ornlu the Wolf,-,400,20,M,2.0,0,2,3,0,-,0.75,-,-,-
,Bad Neighbor,-,300,200,P,10.0,2,8,21,20,92,-,-,-,Bldg
,Bad Neighbor (Packed),-,300,-,-,-,2,8,18,-,-,0.8,-,-,-
,God's Own Sling,-,300,200,P,10.0,2,8,21,20,92,-,-,-,Bldg
,God's Own Sling (Packed),-,300,-,-,-,2,8,18,-,-,0.8,-,-,-
,Jean Bureau,-,60,40,M,6.0,0,2,12,11,100,0.75,-,-,"Bldg, Ship, Cam"
,Jean de Lorrain,-,75,100,M,6.0,5,10,12,14,100,0.75,-,-,"Bldg, Ship, Cam"
,Saboteur,-,45,100,M,-,1,3,6,0,-,1.35,-,-,Bldg
,Admiral Yi Sun-shin,-,600,75,M,3.0,6,6,12,10,100,0.9,-,-,-
,Archbishop,-,70,-,C,1.0,0,2,11,9,25,0.7,-,-,-
,Friar Tuck,-,60,-,C,1.0,2,4,11,9,25,0.7,-,-,-
,Imam,-,45,-,C,1.0,4,4,11,9,25,0.7,-,-,-
,Pope Leo I,-,60,-,C,1.0,2,4,11,9,25,0.7,-,-,-
,Emperor in a Barrel,-,100,-,-,-,0,0,7,-,-,1.0,-,-,-
,King Alfonso,-,75,-,-,-,0,0,6,0,-,1.32,-,-,-
,King Sancho,-,75,-,-,-,0,0,6,0,-,1.32,-,-,-
,Shah,-,75,-,-,-,0,0,6,0,-,1.32,-,-,-
